date,pageview,month-day,year,month_name,month_num,day,z_score
2025-04-15,252297,04-15,2025,April,4,15,-0.14215054394916088
2023-04-16,217249,04-16,2023,April,4,16,-1.0192233472091348
2024-04-16,694440,04-16,2024,April,4,16,0.575450969398891
2025-04-16,238406,04-16,2025,April,4,16,-0.21609036243694918
2023-04-17,280293,04-17,2023,April,4,17,-0.7798132107600126
2024-04-17,765826,04-17,2024,April,4,17,0.7768871853985972
2025-04-17,227645,04-17,2025,April,4,17,-0.2733696358331834
2023-04-18,281108,04-18,2023,April,4,18,-0.776718241195803
2024-04-18,726346,04-18,2024,April,4,18,0.6654829631747942
2025-04-18,220901,04-18,2025,April,4,18,-0.30926698921894713
2023-04-19,317841,04-19,2023,April,4,19,-0.6372243553036389
2024-04-19,620700,04-19,2024,April,4,19,0.3673722625401464
2025-04-19,187061,04-19,2025,April,4,19,-0.48939249909057303
2023-04-20,427884,04-20,2023,April,4,20,-0.21933510897931405
2024-04-20,471348,04-20,2024,April,4,20,-0.05406753982989997
2025-04-20,197324,04-20,2025,April,4,20,-0.43476400890698863
2023-04-21,477387,04-21,2023,April,4,21,-0.03134703740008549
2024-04-21,676442,04-21,2024,April,4,21,0.5246644143942302
2025-04-21,252422,04-21,2025,April,4,21,-0.14148518671707008
2023-04-22,1282806,04-22,2023,April,4,22,3.027238596263949
2024-04-22,1071688,04-22,2024,April,4,22,1.639965154441577
2025-04-22,293175,04-22,2025,April,4,22,0.07543723951810635
2023-04-23,365232,04-23,2023,April,4,23,-0.45725662203068124
2024-04-23,746128,04-23,2024,April,4,23,0.721303589416721
2025-04-23,257117,04-23,2025,April,4,23,-0.116494369079739
2023-04-24,435298,04-24,2023,April,4,24,-0.19118037971667542
2024-04-24,722484,04-24,2024,April,4,24,0.6545852147900848
2025-04-24,250720,04-24,2025,April,4,24,-0.15054469078921864
2023-04-25,467918,04-25,2023,April,4,25,-0.06730564697493378
2024-04-25,663946,04-25,2024,April,4,25,0.48940334142288666
2025-04-25,230353,04-25,2025,April,4,25,-0.2589553367571679
2023-04-26,449496,04-26,2023,April,4,26,-0.13726335165207554
2024-04-26,548792,04-26,2024,April,4,26,0.16446307278155398
2025-04-26,276740,04-26,2025,April,4,26,-0.012043929357194226
2023-04-27,428318,04-27,2023,April,4,27,-0.21768699021751406
2024-04-27,433186,04-27,2024,April,4,27,-0.161752644401956
2025-04-27,257427,04-27,2025,April,4,27,-0.11484428314415376
2023-04-28,359660,04-28,2023,April,4,28,-0.4784163403273392
2024-04-28,502016,04-28,2024,April,4,28,0.03247107939906637
2025-04-28,251874,04-28,2025,April,4,28,-0.14440211282255622
2023-04-29,255943,04-29,2023,April,4,29,-0.8722825468195285
2024-04-29,701274,04-29,2024,April,4,29,0.594735074127297
2025-04-29,268444,04-29,2025,April,4,29,-0.05620235813659755
2023-04-30,267333,04-30,2023,April,4,30,-0.829028923093948
2024-04-30,631456,04-30,2024,April,4,30,0.3977234229818694
2025-04-30,258730,04-30,2025,April,4,30,-0.1079085993568391
2023-05-01,346814,05-01,2023,May,5,1,-0.527199136673152
2024-05-01,549162,05-01,2024,May,5,1,0.16550713464130087
2025-05-01,246079,05-01,2025,May,5,1,-0.17524807410228646
2023-05-02,402485,05-02,2023,May,5,2,-0.31578803163129127
2024-05-02,633908,05-02,2024,May,5,2,0.40464244914430014
2025-05-02,254104,05-02,2025,May,5,2,-0.13253213980205605
2023-05-03,394735,05-03,2023,May,5,3,-0.34521872380629115
2024-05-03,567354,05-03,2024,May,5,3,0.2168411166751262
2025-05-03,256195,05-03,2025,May,5,3,-0.12140204402364085
2023-05-04,412836,05-04,2023,May,5,4,-0.2764800194114946
2024-05-04,427206,05-04,2024,May,5,4,-0.17862694148651379
2025-05-04,259416,05-04,2025,May,5,4,-0.1042571188671247
2023-05-05,355943,05-05,2023,May,5,5,-0.492531680045336
